Id,Active,Email,FirstName,IsCoreTrainer,IsTutor,LastName,OfficeId,Photo,TeamName,UserName,RegionId,CreatedDate,LastModifiedDate
1,1,latoya.roach@fdmgroup,Latoya,1,0,Roach,6,,Team27,latoyaroach,2,2021-08-28 05:47:22,2023-01-04 22:24:34
2,0,joseph.richards@fdmgroup,Joseph,1,0,Richards,1,,Team6,josephrichards,3,2021-12-11 16:19:06,2023-01-25 20:58:19
3,0,nancy.richardson@fdmgroup,Nancy,1,0,Richardson,4,,Team14,nancyrichardson,3,2021-06-19 08:30:26,2022-07-12 10:23:34
4,1,brian.campbell@fdmgroup,Brian,0,0,Campbell,12,,Team8,briancampbell,1,2022-01-14 13:17:12,2023-01-05 12:19:38
5,0,christopher.stephens@fdmgroup,Christopher,0,1,Stephens,4,,Team13,christopherstephens,3,2021-12-31 06:24:09,2022-09-05 07:15:32
6,1,joseph.rodriguez@fdmgroup,Joseph,1,0,Rodriguez,8,,Team6,josephrodriguez,1,2021-10-29 20:34:48,2022-06-26 05:21:52
7,1,joseph.powell@fdmgroup,Joseph,0,0,Powell,10,,Team28,josephpowell,3,2021-09-15 08:38:19,2022-11-26 21:49:53
8,0,david.russo@fdmgroup,David,1,0,Russo,4,,Team26,davidrusso,3,2022-03-18 22:54:19,2022-11-11 13:37:25
9,1,reginald.boyd@fdmgroup,Reginald,1,0,Boyd,6,,Team23,reginaldboyd,3,2022-01-27 00:40:02,2022-08-16 07:43:08
10,0,lydia.williams@fdmgroup,Lydia,1,0,Williams,3,,Team19,lydiawilliams,3,2022-02-11 05:37:53,2022-11-30 08:29:27
11,0,kenneth.hernandez@fdmgroup,Kenneth,0,0,Hernandez,5,,Team28,kennethhernandez,3,2021-07-15 09:54:57,2023-02-16 11:34:07
12,1,john.page@fdmgroup,John,1,1,Page,8,,Team22,johnpage,3,2022-05-27 05:10:34,2022-11-07 05:25:17
13,0,jesse.smith@fdmgroup,Jesse,1,0,Smith,7,,Team30,jessesmith,2,2022-04-17 18:50:05,2022-10-18 11:15:12
14,0,james.swanson@fdmgroup,James,0,0,Swanson,9,,Team8,jamesswanson,3,2021-06-08 10:43:59,2023-04-04 12:01:54
15,1,michael.hanson@fdmgroup,Michael,1,1,Hanson,9,,Team24,michaelhanson,3,2021-10-17 22:12:38,2023-03-11 09:35:36
16,0,leah.chase@fdmgroup,Leah,0,0,Chase,11,,Team5,leahchase,2,2021-07-24 14:26:54,2023-04-30 18:01:04
17,0,jason.jordan@fdmgroup,Jason,1,1,Jordan,2,,Team24,jasonjordan,3,2021-06-18 08:52:06,2022-06-04 21:54:04
18,0,kelsey.campbell@fdmgroup,Kelsey,0,0,Campbell,7,,Team13,kelseycampbell,1,2021-12-13 04:10:15,2023-05-10 22:12:12
19,1,leslie.johnson@fdmgroup,Leslie,0,0,Johnson,8,,Team9,lesliejohnson,2,2022-03-18 21:22:21,2022-09-03 18:04:21
20,1,daniel.thomas@fdmgroup,Daniel,1,1,Thomas,8,,Team5,danielthomas,1,2022-04-09 07:46:03,2022-11-05 03:22:56
21,1,melissa.fox@fdmgroup,Melissa,1,1,Fox,9,,Team18,melissafox,1,2022-02-07 08:43:07,2022-10-17 17:37:43
22,0,benjamin.weaver@fdmgroup,Benjamin,1,1,Weaver,2,,Team23,benjaminweaver,2,2022-05-23 06:57:46,2022-07-28 11:31:02
23,0,tim.weiss@fdmgroup,Tim,1,0,Weiss,6,,Team30,timweiss,2,2021-11-15 13:02:29,2022-12-25 12:30:48
24,0,charles.carney@fdmgroup,Charles,1,0,Carney,10,,Team13,charlescarney,3,2021-06-23 11:52:46,2022-12-05 18:09:26
25,0,ashley.price@fdmgroup,Ashley,0,1,Price,9,,Team26,ashleyprice,2,2022-05-20 09:13:48,2023-03-22 08:20:20
26,1,crystal.brown@fdmgroup,Crystal,1,1,Brown,10,,Team21,crystalbrown,2,2022-03-02 20:50:11,2022-07-31 02:28:41
27,0,michael.gonzalez@fdmgroup,Michael,1,1,Gonzalez,5,,Team25,michaelgonzalez,1,2021-11-19 23:36:44,2023-01-04 12:31:56
28,0,jessica.richards@fdmgroup,Jessica,1,1,Richards,4,,Team26,jessicarichards,1,2021-11-29 16:45:23,2022-06-17 22:22:15
29,0,brian.young@fdmgroup,Brian,0,1,Young,1,,Team14,brianyoung,2,2021-09-29 17:55:02,2022-08-22 02:33:50
30,0,raymond.andrews@fdmgroup,Raymond,1,0,Andrews,4,,Team20,raymondandrews,2,2021-09-28 21:35:41,2022-08-26 04:37:56
31,0,rachel.johnson@fdmgroup,Rachel,0,1,Johnson,6,,Team25,racheljohnson,1,2022-01-08 13:45:32,2023-02-09 08:13:48
32,0,jessica.mercado@fdmgroup,Jessica,0,1,Mercado,1,,Team11,jessicamercado,1,2021-08-28 05:14:37,2023-03-16 16:15:46
33,1,jeffrey.ritter@fdmgroup,Jeffrey,0,1,Ritter,3,,Team10,jeffreyritter,3,2022-05-03 17:32:41,2022-10-02 07:03:26
34,1,amanda.hanson@fdmgroup,Amanda,1,0,Hanson,4,,Team17,amandahanson,2,2021-08-28 22:30:02,2022-11-04 19:28:01
35,0,mark.taylor@fdmgroup,Mark,0,1,Taylor,9,,Team8,marktaylor,3,2021-12-25 03:22:30,2023-04-26 17:55:30
36,1,laura.johnson@fdmgroup,Laura,0,1,Johnson,2,,Team3,laurajohnson,1,2022-05-01 06:35:47,2022-10-27 11:52:41
37,1,kendra.johnson@fdmgroup,Kendra,1,0,Johnson,4,,Team30,kendrajohnson,1,2022-01-04 09:35:25,2023-03-02 01:17:31
38,0,david.harper@fdmgroup,David,0,0,Harper,4,,Team18,davidharper,1,2021-09-17 10:07:05,2022-06-09 22:08:04
39,0,erica.gomez@fdmgroup,Erica,0,0,Gomez,4,,Team19,ericagomez,3,2021-11-02 12:57:48,2023-05-19 09:33:00
40,1,charles.jennings@fdmgroup,Charles,0,0,Jennings,8,,Team8,charlesjennings,1,2022-02-18 04:15:15,2022-06-04 06:54:49
41,1,margaret.dean@fdmgroup,Margaret,1,0,Dean,1,,Team19,margaretdean,3,2022-03-17 10:18:47,2022-06-17 12:41:29
42,1,ashley.oconnor@fdmgroup,Ashley,1,0,Oconnor,2,,Team15,ashleyoconnor,1,2021-08-16 13:33:25,2022-09-05 11:27:23
43,0,teresa.beck@fdmgroup,Teresa,1,1,Beck,10,,Team13,teresabeck,1,2021-10-05 21:25:56,2022-08-04 06:03:34
44,1,hannah.schmidt@fdmgroup,Hannah,1,1,Schmidt,10,,Team24,hannahschmidt,3,2022-04-29 09:58:10,2023-02-14 02:38:49
45,0,jeffrey.houston@fdmgroup,Jeffrey,0,1,Houston,1,,Team11,jeffreyhouston,3,2022-02-08 23:54:38,2022-12-06 09:00:03
46,1,patricia.phillips@fdmgroup,Patricia,0,0,Phillips,11,,Team15,patriciaphillips,2,2022-03-25 14:19:01,2022-11-18 08:41:17
47,1,michael.jackson@fdmgroup,Michael,0,0,Jackson,5,,Team20,michaeljackson,2,2022-03-23 12:38:50,2023-02-20 06:24:18
48,1,jesse.thomas@fdmgroup,Jesse,1,0,Thomas,8,,Team22,jessethomas,3,2021-07-03 21:33:01,2022-07-12 08:43:42
49,1,william.carroll@fdmgroup,William,0,0,Carroll,4,,Team4,williamcarroll,1,2022-02-20 12:01:49,2023-02-07 01:59:17
50,0,tyler.reed@fdmgroup,Tyler,1,0,Reed,12,,Team4,tylerreed,1,2022-03-06 11:02:10,2023-05-27 10:09:04
51,1,michael.butler@fdmgroup,Michael,1,1,Butler,3,,Team13,michaelbutler,3,2021-10-09 22:24:46,2023-04-28 19:17:04
52,0,joshua.newton@fdmgroup,Joshua,1,1,Newton,8,,Team14,joshuanewton,3,2021-07-01 17:27:19,2023-02-08 16:50:15
53,1,deborah.smith@fdmgroup,Deborah,1,1,Smith,3,,Team22,deborahsmith,1,2021-06-03 07:08:45,2022-08-11 05:48:52
54,1,elizabeth.tran@fdmgroup,Elizabeth,1,1,Tran,1,,Team2,elizabethtran,2,2022-05-08 17:28:52,2022-11-26 02:26:42
55,1,jonathon.barton@fdmgroup,Jonathon,1,1,Barton,1,,Team17,jonathonbarton,1,2021-06-08 12:34:44,2023-04-13 05:38:35
56,1,renee.johnson@fdmgroup,Renee,0,1,Johnson,5,,Team27,reneejohnson,1,2022-04-12 04:30:50,2022-08-06 05:58:07
57,0,shawn.clark@fdmgroup,Shawn,1,0,Clark,6,,Team3,shawnclark,1,2021-07-05 09:45:16,2022-06-26 16:27:28
58,1,angela.webb@fdmgroup,Angela,1,1,Webb,6,,Team17,angelawebb,1,2021-10-26 17:04:45,2022-10-04 08:42:59
59,1,melissa.solis@fdmgroup,Melissa,0,1,Solis,7,,Team9,melissasolis,3,2021-12-06 01:22:28,2022-10-21 18:03:13
60,1,alejandra.gordon@fdmgroup,Alejandra,0,0,Gordon,9,,Team14,alejandragordon,3,2022-03-10 17:18:31,2023-04-25 04:40:25
61,0,larry.fields@fdmgroup,Larry,1,0,Fields,5,,Team7,larryfields,1,2021-09-02 06:25:02,2022-11-22 04:01:19
62,1,omar.howard@fdmgroup,Omar,0,0,Howard,2,,Team20,omarhoward,2,2021-08-11 05:33:14,2023-05-11 16:56:37
63,1,jane.flynn@fdmgroup,Jane,1,0,Flynn,5,,Team19,janeflynn,1,2021-06-27 21:07:35,2022-08-13 03:17:08
64,1,joseph.james@fdmgroup,Joseph,1,1,James,10,,Team19,josephjames,1,2021-10-09 15:50:07,2022-07-15 17:57:57
65,0,melissa.baxter@fdmgroup,Melissa,1,0,Baxter,11,,Team16,melissabaxter,1,2022-05-12 15:01:25,2023-05-10 16:37:51
66,0,jessica.guzman@fdmgroup,Jessica,1,0,Guzman,11,,Team27,jessicaguzman,3,2021-10-27 10:03:14,2023-04-26 01:03:23
67,1,melanie.carr@fdmgroup,Melanie,0,1,Carr,9,,Team8,melaniecarr,1,2022-05-16 03:45:39,2023-02-10 10:46:27
68,1,amanda.rodriguez@fdmgroup,Amanda,0,1,Rodriguez,2,,Team5,amandarodriguez,2,2021-07-16 22:23:31,2022-12-05 13:50:11
69,0,matthew.stevens@fdmgroup,Matthew,1,0,Stevens,2,,Team12,matthewstevens,2,2022-03-06 19:16:46,2022-07-02 13:05:07
70,0,michael.hudson@fdmgroup,Michael,1,1,Hudson,8,,Team23,michaelhudson,1,2022-04-23 06:14:14,2022-08-09 09:37:47
71,1,brian.rodriguez@fdmgroup,Brian,0,0,Rodriguez,10,,Team2,brianrodriguez,3,2021-09-30 10:12:12,2022-08-02 11:43:27
72,1,amanda.terry@fdmgroup,Amanda,0,1,Terry,10,,Team9,amandaterry,3,2021-10-03 00:45:22,2022-09-23 15:08:26
73,0,timothy.perez@fdmgroup,Timothy,1,0,Perez,4,,Team9,timothyperez,3,2021-12-02 18:43:19,2022-07-10 10:34:13
74,1,julie.mack@fdmgroup,Julie,0,1,Mack,7,,Team11,juliemack,3,2022-03-02 22:07:42,2022-06-02 09:58:25
75,0,james.williams@fdmgroup,James,0,0,Williams,8,,Team26,jameswilliams,2,2022-04-16 20:19:47,2023-03-04 06:24:00
76,1,crystal.bowers@fdmgroup,Crystal,0,1,Bowers,12,,Team27,crystalbowers,2,2022-02-16 12:03:46,2022-06-23 02:20:12
77,1,richard.bowen@fdmgroup,Richard,1,0,Bowen,3,,Team13,richardbowen,3,2021-08-12 07:15:48,2023-02-07 22:19:42
78,0,ruth.alexander@fdmgroup,Ruth,0,0,Alexander,12,,Team6,ruthalexander,1,2021-06-12 02:09:00,2022-07-16 16:10:08
79,0,michele.petersen@fdmgroup,Michele,1,0,Petersen,1,,Team10,michelepetersen,1,2021-06-26 09:13:46,2022-11-16 20:50:08
80,1,holly.glover@fdmgroup,Holly,0,0,Glover,4,,Team17,hollyglover,3,2021-07-03 00:44:49,2023-01-26 16:49:33
81,0,erica.hayes@fdmgroup,Erica,0,1,Hayes,6,,Team23,ericahayes,1,2022-04-22 10:51:25,2023-01-09 11:47:03
82,0,laura.phillips@fdmgroup,Laura,1,1,Phillips,10,,Team4,lauraphillips,2,2021-10-09 04:10:56,2023-05-03 22:34:38
83,1,john.burgess@fdmgroup,John,1,1,Burgess,11,,Team18,johnburgess,2,2021-07-27 03:14:08,2022-08-19 00:53:44
84,0,kayla.jones@fdmgroup,Kayla,0,0,Jones,5,,Team7,kaylajones,3,2021-07-17 20:48:14,2022-08-27 00:32:47
85,0,lee.lopez@fdmgroup,Lee,0,0,Lopez,12,,Team25,leelopez,2,2022-03-23 08:38:17,2023-05-12 07:15:16
86,1,andrea.cole@fdmgroup,Andrea,0,1,Cole,5,,Team6,andreacole,2,2021-10-19 13:30:27,2023-03-24 10:20:13
87,0,rebecca.salas@fdmgroup,Rebecca,0,0,Salas,7,,Team30,rebeccasalas,1,2022-05-30 00:20:38,2023-02-08 06:02:51
88,1,michelle.stephens@fdmgroup,Michelle,0,1,Stephens,5,,Team20,michellestephens,2,2022-01-17 07:44:31,2023-02-13 10:14:49
89,0,jeremy.newton@fdmgroup,Jeremy,0,1,Newton,5,,Team12,jeremynewton,1,2021-06-03 01:17:13,2023-01-22 00:29:11
90,0,jack.spencer@fdmgroup,Jack,1,1,Spencer,4,,Team1,jackspencer,3,2021-06-12 11:29:41,2022-08-17 20:48:56
91,0,samantha.alexander@fdmgroup,Samantha,0,1,Alexander,5,,Team13,samanthaalexander,3,2021-07-19 00:50:40,2023-05-29 05:42:17
92,1,jerry.schmidt@fdmgroup,Jerry,0,0,Schmidt,5,,Team18,jerryschmidt,3,2022-05-03 18:53:28,2022-08-27 11:30:48
93,1,benjamin.williams@fdmgroup,Benjamin,0,0,Williams,9,,Team2,benjaminwilliams,2,2021-06-21 19:16:02,2022-12-11 22:10:54
94,0,ronald.baker@fdmgroup,Ronald,1,1,Baker,5,,Team12,ronaldbaker,1,2021-09-18 03:58:28,2022-11-23 06:10:30
95,1,christopher.potts@fdmgroup,Christopher,0,0,Potts,4,,Team29,christopherpotts,1,2021-12-26 12:31:02,2022-07-10 18:51:45
96,1,anthony.johnson@fdmgroup,Anthony,1,0,Johnson,11,,Team22,anthonyjohnson,1,2021-12-15 05:43:00,2022-07-27 08:30:54
97,0,stephanie.holder@fdmgroup,Stephanie,0,1,Holder,8,,Team26,stephanieholder,3,2021-11-02 07:14:47,2022-09-29 09:50:44
98,0,brandon.howard@fdmgroup,Brandon,1,1,Howard,6,,Team11,brandonhoward,1,2022-02-12 02:15:35,2022-09-25 20:02:15
99,0,tammy.farmer@fdmgroup,Tammy,1,1,Farmer,6,,Team1,tammyfarmer,3,2021-07-22 17:28:38,2022-06-24 04:12:08
100,1,brian.smith@fdmgroup,Brian,0,1,Smith,1,,Team5,briansmith,2,2022-03-24 04:09:59,2023-05-06 06:26:03
